% Model:              TurbulentChannel_211027_HL_Q4_coarser(run).mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 24 2021, 23:16
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        
% cln1x                   50*spf.Pk/(u_tau_probe)^4*Fluid_mu/Fluid_rho/Fluid_rho (1)
2.5E-5                    1.864335634791729E-4
7.500000000000001E-5      1.864398930165431E-4
1.25E-4                   1.8644622339221453E-4
1.7500000000000003E-4     1.8645255460643726E-4
2.25E-4                   1.8645888665946161E-4
2.75E-4                   1.864652195515378E-4
3.25E-4                   1.864715532829163E-4
3.75E-4                   1.8647788785384768E-4
4.2500000000000003E-4     1.8648422326458255E-4
4.75E-4                   1.8649055951537163E-4
5.250000000000001E-4      1.8649689660646556E-4
5.75E-4                   1.8650323453811527E-4
6.250000000000001E-4      1.865095733105716E-4
6.75E-4                   1.865159129240857E-4
7.250000000000001E-4      1.8652225337890849E-4
7.750000000000001E-4      1.865285946752914E-4
8.250000000000001E-4      1.8653493681348562E-4
8.750000000000001E-4      1.8654127979374238E-4
9.25E-4                   1.865476236163133E-4
9.750000000000001E-4      1.8655396828144976E-4
0.001025                  1.8656031378940343E-4
0.001075                  1.8656666014042612E-4
0.001125                  1.865730073347695E-4
0.001175                  1.8657935537268538E-4
0.0012250000000000002     1.865857042544258E-4
0.001275                  1.8659205398024285E-4
0.001325                  1.8659840455038855E-4
0.0013750000000000001     1.8660475596511512E-4
0.001425                  1.866111082246749E-4
0.001475                  1.8661746132932013E-4
0.001525                  1.8662381527930353E-4
0.001575                  1.8663017007487757E-4
0.0016250000000000001     0.0022871608669700117
0.0016750000000000003     0.0022867324590526697
0.0017250000000000002     0.002286304458004846
0.0017749999999999999     0.0022858768632132032
0.001825                  0.002285449674065525
0.001875                  0.0022850228899507024
0.001925                  0.0022845965102587383
0.001975                  0.0022841705343807474
0.0020250000000000003     0.0022837449617089454
0.002075                  0.002283319791636654
0.002125                  0.0022828950235582947
0.002175                  0.0022824706568693866
0.002225                  0.0022820466909665472
0.002275                  0.0022816231252474847
0.0023250000000000002     0.002281199959110999
0.0023750000000000004     0.002280777191956979
0.002425                  0.002280354823186398
0.002475                  0.0022799328522013166
0.0025250000000000003     0.002279511278404873
0.002575                  0.002279090101201288
0.002625                  0.002278669319995854
0.0026750000000000003     0.0022782489341949437
0.002725                  0.0022778289432059955
0.002775                  0.002277409346437521
0.0028250000000000003     0.0022769901432990957
0.0028750000000000004     0.002276571333201366
0.0029250000000000005     0.0022761529155560325
0.002975                  0.002275734889775862
0.003025                  0.0022753172552746758
0.003075                  0.0022749000114673516
0.003125                  0.002274483157769819
0.0031750000000000003     0.0022740666935990588
0.0032250000000000004     0.0022736506183731017
0.003275                  0.0022732349315110222
0.0033250000000000003     0.0022728196324329386
0.0033750000000000004     0.0022724047205600127
0.0034250000000000005     0.002271990195314443
0.0034750000000000007     0.002271576056119466
0.003525                  0.004154759750708127
0.003575                  0.0041536474036454165
0.0036249999999999998     0.0041525367018540975
0.003675                  0.004151427641690809
0.003725                  0.004150320219522032
0.003775                  0.004149214431724063
0.0038250000000000003     0.004148110274682992
0.003875                  0.0041470077447946395
0.0039250000000000005     0.0041459068384645595
0.003975                  0.004144807552107984
0.004025                  0.0041437098821497965
0.0040750000000000005     0.004142613825024501
0.004125                  0.004141519377176193
0.004175000000000001      0.00414042653505852
0.0042250000000000005     0.004139335295134657
0.004275                  0.00413824565387727
0.004325                  0.004137157607768488
0.0043749999999999995     0.004136071153299873
0.004425                  0.004134986286972375
0.004475                  0.004133903005296329
0.004525                  0.0041328213047913875
0.004575                  0.004131741181986523
0.004625                  0.004130662633419977
0.004675                  0.004129585655639236
0.004725                  0.004128510245201006
0.004775000000000001      0.004127436398671167
0.004825                  0.004126364112624759
0.004875000000000001      0.004125293383645945
0.0049250000000000006     0.0041242242083279765
0.004975                  0.004123156583273172
0.005025000000000001      0.004122090505092887
0.0050750000000000005     0.004121025970407471
0.005125                  0.004119962975846259
0.005175                  0.004118901518047518
0.0052250000000000005     0.004117841593658446
0.005275                  0.004116783199335113
0.005325                  0.004115726331742457
0.0053750000000000004     0.004114670987554233
0.005425                  0.004113617163453009
0.005475000000000001      0.004112564856130111
0.005525                  0.004111514062285616
0.005575                  0.004110464778628309
0.005625000000000001      0.004109417001875664
0.005675                  0.004108370728753809
0.005725000000000001      0.004107325955997501
0.005775000000000001      0.004106282680350101
0.005825                  0.004105240898563533
0.005875                  0.004104200607398277
0.005925                  0.004103161803623327
0.005975                  0.004102124484016157
0.006025                  0.00410108864536272
0.0060750000000000005     0.004100054284457385
0.006125                  0.004099021398102943
0.006175                  0.004097989983110556
0.0062250000000000005     0.004096960036299742
0.006275                  0.0040959315544983445
0.006325000000000001      0.004094904534542501
0.0063750000000000005     0.020253624911367785
