% Model:              meshtest_CFD_module_v1_recalced.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 12 2021, 23:34
% Table:              Table 3 - Line Integration 1
% Time (s)                                        phils (m)
0                                                 0.058506042236876735
0.1                                               0.058620019578282195
0.2                                               0.058296257398210226
0.30000000000000004                               0.057521434194134725
0.4                                               0.05675530704301532
0.5                                               0.05620254170029805
0.6000000000000001                                0.05557160606443883
0.7000000000000001                                0.054391470388944076
0.8                                               0.053138394944482074
0.9                                               0.05260728894765196
1                                                 0.05167627093093345
1.1                                               0.051039409409806155
1.2000000000000002                                0.05024261992292247
1.3                                               0.04952014747587022
1.4000000000000001                                0.04925457737699275
1.5                                               0.048776995200179224
1.6                                               0.048169385194891376
1.7000000000000002                                0.0481218014641454
1.8                                               0.04769089321876819
1.9000000000000001                                0.04715041177563031
2                                                 0.0466732204721026
2.1                                               0.046410173786787655
2.2                                               0.04613584627466111
2.3000000000000003                                0.045761683079342516
2.4000000000000004                                0.04575270448777654
2.5                                               0.045555053448813096
2.6                                               0.04552647593815486
2.7                                               0.04559732852776735
2.8000000000000003                                0.045637959102985945
2.9000000000000004                                0.04601755939989208
3                                                 0.046222255460991506
3.1                                               0.04658122978430428
3.2                                               0.04686670058060123
3.3000000000000003                                0.04703821743146288
3.4000000000000004                                0.048025665634894465
3.5                                               0.04874112204848769
3.6                                               0.04925579040687494
3.7                                               0.04997094182887304
3.8000000000000003                                0.050287383490467796
3.9000000000000004                                0.05095015676970439
4                                                 0.05138380373973595
