% Model:              meshtest_CFD_module_v1_recalced.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 13 2021, 00:04
% Table:              Table 3 - Line Integration 1
% Time (s)                                        phils (m)
0                                                 0.05875649819074346
0.1                                               0.05858119833201647
0.2                                               0.05813351043720416
0.30000000000000004                               0.057501829723025054
0.4                                               0.056718878450213846
0.5                                               0.0558176821457352
0.6000000000000001                                0.054816145307163916
0.7000000000000001                                0.05378653473200551
0.8                                               0.052966118251116794
0.9                                               0.0523905256135411
1                                                 0.05205871143071417
1.1                                               0.051212391056634575
1.2000000000000002                                0.05063593072387151
1.3                                               0.05004112051371651
1.4000000000000001                                0.049594306258416744
1.5                                               0.0492521450716163
1.6                                               0.048738679433798775
1.7000000000000002                                0.04774904391135479
1.8                                               0.046727693931152815
1.9000000000000001                                0.046401117528157135
2                                                 0.04627218759084337
2.1                                               0.0463419806658675
2.2                                               0.046174677940741544
2.3000000000000003                                0.04625603762576303
2.4000000000000004                                0.046121392655241046
2.5                                               0.04625714586833954
2.6                                               0.04655347951017205
2.7                                               0.04651275198247327
2.8000000000000003                                0.04676492279714348
2.9000000000000004                                0.04705965684367229
3                                                 0.047495911729595504
3.1                                               0.04771264898017645
3.2                                               0.048346160457137674
3.3000000000000003                                0.048584048015663184
3.4000000000000004                                0.04912433793068525
3.5                                               0.04945307731716979
3.6                                               0.04999761629488866
3.7                                               0.05044054639351134
3.8000000000000003                                0.05080863868402384
3.9000000000000004                                0.05112988495267959
4                                                 0.05138901396521948
4.1000000000000005                                0.05176373067116731
4.2                                               0.05188449442431135
4.3                                               0.05186308953947374
4.4                                               0.05191010187067566
4.5                                               0.0519947970921036
4.6000000000000005                                0.05172797899261178
4.7                                               0.051644409503660844
4.800000000000001                                 0.05168518223113162
4.9                                               0.05149219386175293
5                                                 0.05133707289008207
5.1000000000000005                                0.05134607067309636
5.2                                               0.05118204501292831
5.300000000000001                                 0.05104943426665902
5.4                                               0.05070292705189715
5.5                                               0.05086997340944543
5.6000000000000005                                0.05062786962305904
5.7                                               0.05037247677325155
5.800000000000001                                 0.050207955596861975
5.9                                               0.050115213664246164
6                                                 0.04987339280186909
6.1000000000000005                                0.04982922303166617
6.2                                               0.04953921892629787
6.300000000000001                                 0.04930937001973865
6.4                                               0.04924545473789609
6.5                                               0.049156448995407324
6.6000000000000005                                0.04907158019142765
6.7                                               0.049000468624785666
6.800000000000001                                 0.048923540143274526
6.9                                               0.049030826504110496
7                                                 0.04904606927679567
7.1000000000000005                                0.04908341342001725
7.2                                               0.04913557631816959
7.300000000000001                                 0.04920012244289935
7.4                                               0.04927350134864303
7.5                                               0.04935395850034159
7.6000000000000005                                0.04943780939280626
7.7                                               0.049524744778289415
7.800000000000001                                 0.049620270804918626
7.9                                               0.04971949888112263
8                                                 0.04981642810684449
